rk	ufi	uni	full_name	nt	lat_dd	long_dd	efctv_dt	term_dt_f	term_dt_n	desig_cd	fc	cc_ft	adm1	ft_link	name_rank	lang_cd	transl_cd	script_cd	name_link	cc_nm	generic	full_nm_nd	sort_gen	sort_name	lat_dms	long_dms	mgrs	mod_dt_ft	mod_dt_nm	dialect_cd	display	gis_notes
5	13106911	16544160	Methan Forest	N	33.345247	75.738607				FRST	V	IND	IN-JK		1							Methan Forest	FOREST	METHANFOREST	33:20:43	75:44:19	43SES6872889806	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106913	16544162	Bharnopan Forest	N	33.339365	75.72895				FRST	V	IND	IN-JK		1							Bharnopan Forest	FOREST	BHARNOPANFOREST	33:20:22	75:43:44	43SES6783489147	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106923	16544172	Thakrāi Forest	N	33.34331	75.679423				FRST	V	IND	IN-JK		1							Thakrai Forest	FOREST	THAKRAIFOREST	33:20:36	75:40:46	43SES6322389553	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106934	16544183	Sadanwan Forest	N	33.297013	75.700028				FRST	V	IND	IN-JK		1							Sadanwan Forest	FOREST	SADANWANFOREST	33:17:49	75:42:00	43SES6517484433	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13106953	16544202	Bhatkut Forest	N	33.268563	75.719299				FRST	V	IND	IN-JK		1							Bhatkut Forest	FOREST	BHATKUTFOREST	33:16:07	75:43:09	43SES6699081291	2020-07-27T00:00:00.000Z	2015-08-03T00:00:00.000Z		1,2	
5	13107704	16545041	Gadi Forest	N	33.23236	75.519675				FRST	V	IND	IN-JK		1							Gadi Forest	FOREST	GADIFOREST	33:13:56	75:31:11	43SES4841877167	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13107706	16545043	Khandrot Forest	N	33.243323	75.552314				FRST	V	IND	IN-JK		1							Khandrot Forest	FOREST	KHANDROTFOREST	33:14:36	75:33:08	43SES5145378398	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13107707	16545044	Dibri Forest	N	33.244259	75.569308				FRST	V	IND	IN-JK		1							Dibri Forest	FOREST	DIBRIFOREST	33:14:39	75:34:10	43SES5303678511	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108438	16545795	Gādān Forest	N	33.203025	75.512338				FRST	V	IND	IN-JK		1							Gadan Forest	FOREST	GADANFOREST	33:12:11	75:30:44	43SES4775173912	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108459	16545816	Khaleni Lohrā Forest	N	33.145411	75.515258				FRST	V	IND	IN-JK		1							Khaleni Lohra Forest	FOREST	KHALENILOHRAFOREST	33:08:43	75:30:55	43SES4805467526	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108460	16545817	Sāras Forest	N	33.127764	75.515171				FRST	V	IND	IN-JK		1							Saras Forest	FOREST	SARASFOREST	33:07:40	75:30:55	43SES4805665569	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108463	16545820	Paroot Forest	N	33.118995	75.528685				FRST	V	IND	IN-JK		1							Paroot Forest	FOREST	PAROOTFOREST	33:07:08	75:31:43	43SES4932164603	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108501	16545858	Banjotu Forest	N	33.073514	75.556369				FRST	V	IND	IN-JK		1							Banjotu Forest	FOREST	BANJOTUFOREST	33:04:25	75:33:23	43SES5193159574	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108506	16545863	Digheri Forest	N	33.070244	75.54169				FRST	V	IND	IN-JK		1							Digheri Forest	FOREST	DIGHERIFOREST	33:04:13	75:32:30	43SES5056359205	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108507	16545864	Chimra Forest	N	33.071791	75.519807				FRST	V	IND	IN-JK		1							Chimra Forest	FOREST	CHIMRAFOREST	33:04:18	75:31:11	43SES4851959366	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108508	16545865	Ganākuli Forest	N	33.064077	75.506913				FRST	V	IND	IN-JK		1							Ganakuli Forest	FOREST	GANAKULIFOREST	33:03:51	75:30:25	43SES4732058505	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108534	16545891	Drad Forest	N	33.031356	75.511306				FRST	V	IND	IN-JK		1							Drad Forest	FOREST	DRADFOREST	33:01:53	75:30:41	43SES4774754879	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108537	16545894	Nāgīni Forest	N	33.021319	75.507276				FRST	V	IND	IN-JK		1							Nagini Forest	FOREST	NAGINIFOREST	33:01:17	75:30:26	43SES4737653765	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108669	16546026	Draman Forest	N	33.181083	75.624043				FRST	V	IND	IN-JK		1							Draman Forest	FOREST	DRAMANFOREST	33:10:52	75:37:27	43SES5817771536	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108679	16546036	Parwās Forest	N	33.203063	75.602293				FRST	V	IND	IN-JK		1							Parwas Forest	FOREST	PARWASFOREST	33:12:11	75:36:08	43SES5613573960	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
5	13108684	16546041	Batha Forest	N	33.203348	75.661855				FRST	V	IND	IN-JK		1							Batha Forest	FOREST	BATHAFOREST	33:12:12	75:39:43	43SES6168674026	2020-07-27T00:00:00.000Z	2015-08-04T00:00:00.000Z		1,2	
